('35', '128', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '21', '2033-10-13 13:06:21', NULL),
('9', '22', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2024-12-15 15:47:23', NULL),
('40', '132', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2034-02-25 19:48:44', NULL),
('23', '141', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2034-11-21 18:06:29', NULL),
('48', '115', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2032-09-05 23:13:14', NULL),
('2', '40', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '28', '2026-06-11 09:43:56', NULL),
('6', '51', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2027-05-16 10:03:24', NULL),
('35', '19', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2025-11-16 09:52:49', NULL),
('21', '26', 'Non mi è piaciuto il tono usato nel video. Sembra mancare di entusiasmo.', '0', '2025-04-26 16:15:44', NULL),
('46', '51', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2027-05-16 10:03:24', NULL),
('30', '109', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2032-03-22 02:10:31', NULL),
('25', '40', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2026-06-11 09:43:56', NULL),
('15', '31', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2025-09-05 16:44:05', NULL),
('23', '89', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '25', '2030-07-21 12:26:17', NULL),
('45', '116', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2032-10-13 10:54:37', NULL),
('33', '142', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2034-12-16 04:51:44', NULL),
('34', '4', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2025-10-11 13:18:27', NULL),
('48', '56', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2027-10-13 08:48:56', NULL),
('43', '85', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '35', '2030-03-21 06:40:02', NULL),
('36', '55', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2027-09-05 21:07:33', NULL),
('25', '140', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2034-10-13 15:18:05', NULL),
('22', '84', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '21', '2030-02-26 11:01:48', NULL),
('18', '31', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2025-09-05 16:44:05', NULL),
('6', '110', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '15', '2032-04-26 22:44:53', NULL),
('36', '15', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2025-12-09 05:31:03', NULL),
('24', '144', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2035-02-25 22:00:28', NULL),
('44', '125', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '10', '2033-07-20 19:01:29', NULL),
('26', '22', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '17', '2025-02-09 01:45:57', NULL),
('9', '138', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2034-08-15 23:05:29', NULL),
('43', '87', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2030-05-15 16:38:36', NULL),
('22', '76', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2029-06-10 16:19:08', NULL),
('2', '72', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2029-02-26 08:50:04', NULL),
('2', '128', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2033-10-13 13:06:21', NULL),
('30', '59', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '1', '2028-01-11 00:14:51', NULL),
('42', '148', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '14', '2035-06-11 20:36:33', NULL),
('44', '84', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2030-02-26 11:01:48', NULL),
('3', '39', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '5', '2026-05-16 07:51:40', NULL),
('8', '147', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2035-05-15 03:37:16', NULL),
('6', '47', 'Ho trovato il video molto noioso e poco interessante. Non è riuscito a catturare la mia attenzione.', '0', '2027-01-10 22:03:07', NULL),
('2', '141', 'Ci sono troppe interruzioni nel video, rendendolo difficile da seguire.', '0', '2034-11-21 18:06:29', NULL),
('16', '102', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2031-08-16 16:30:17', NULL),
('38', '29', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2026-02-20 13:46:48', NULL),
('44', '33', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2026-08-10 17:03:33', NULL),
('47', '36', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '23', '2026-11-13 05:50:31', NULL),
('30', '81', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2029-11-22 07:07:49', NULL),
('22', '145', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '34', '2035-03-20 17:38:42', NULL),
('41', '40', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2026-06-11 09:43:56', NULL),
('20', '50', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2027-04-26 20:39:12', NULL),
('19', '143', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '17', '2035-01-11 06:44:00', NULL),
('47', '105', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '18', '2031-11-22 11:31:17', NULL),
('22', '97', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2031-03-21 08:51:46', NULL),
('8', '141', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '25', '2034-11-21 18:06:29', NULL),
('31', '107', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '36', '2032-01-12 00:08:48', NULL),
('12', '74', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2029-04-26 01:02:40', NULL),
('17', '94', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '26', '2030-12-16 20:04:48', NULL),
('14', '73', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '33', '2029-03-21 04:28:18', NULL),
('42', '48', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '39', '2027-02-25 13:19:35', NULL),
('11', '28', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2025-06-11 07:32:12', NULL),
('49', '27', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2027-01-25 14:06:16', NULL),
('36', '109', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2032-03-22 02:10:31', NULL),
('20', '98', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2031-04-26 05:26:08', NULL),
('38', '73', 'Non mi è piaciuto il tono usato nel video. Sembra mancare di entusiasmo.', '0', '2029-03-21 04:28:18', NULL),
('47', '133', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2034-03-22 06:33:59', NULL),
('48', '137', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2034-07-20 21:13:13', NULL),
('1', '112', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2032-06-11 14:01:21', NULL),
('6', '74', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2029-04-26 01:02:40', NULL),
('23', '118', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2032-12-16 00:28:16', NULL),
('8', '124', 'La qualità del video potrebbe essere migliorata. Era sfocato in alcuni punti.', '0', '2033-06-11 16:13:05', NULL),
('38', '10', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2026-02-20 13:46:48', NULL),
('35', '88', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '19', '2030-06-10 18:30:52', NULL),
('41', '119', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '31', '2033-01-11 02:20:32', NULL),
('18', '124', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2033-06-11 16:13:05', NULL),
('49', '98', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2031-04-26 05:26:08', NULL),
('43', '140', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2034-10-13 15:18:05', NULL),
('18', '105', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2031-11-22 11:31:17', NULL),
('47', '55', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2027-09-05 21:07:33', NULL),
('36', '94', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2030-12-16 20:04:48', NULL),
('13', '81', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2029-11-22 07:07:49', NULL),
('27', '122', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '1', '2033-04-27 00:56:37', NULL),
('11', '104', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '1', '2031-10-14 08:42:53', NULL),
('39', '15', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2026-03-25 04:07:08', NULL),
('46', '113', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2032-07-22 07:56:46', NULL),
('12', '134', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '18', '2034-04-27 03:08:21', NULL),
('16', '98', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2031-04-26 05:26:08', NULL),
('23', '67', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2028-09-06 14:26:18', NULL),
('23', '45', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '20', '2026-11-21 09:25:36', NULL),
('3', '148', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2035-06-11 20:36:33', NULL),
('25', '26', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2025-04-26 16:15:44', NULL),
('39', '61', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2028-03-21 02:16:34', NULL),
('13', '84', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '23', '2030-02-26 11:01:48', NULL),
('33', '123', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2033-05-16 14:20:49', NULL),
('11', '77', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '26', '2029-07-21 10:14:33', NULL),
('33', '129', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '21', '2033-11-21 15:54:45', NULL),
('24', '91', 'Ci sono troppe interruzioni nel video, rendendolo difficile da seguire.', '0', '2030-09-06 18:49:46', NULL),
('18', '130', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2033-12-16 02:40:00', NULL),
('22', '126', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '36', '2033-08-17 12:00:46', NULL),
('35', '96', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2031-02-26 13:13:32', NULL),
('4', '72', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2029-02-26 08:50:04', NULL),
('46', '27', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2026-10-08 09:16:09', NULL),
('23', '65', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2028-07-21 08:02:49', NULL),
('32', '13', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2025-08-15 12:12:52', NULL),
('21', '77', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2029-07-21 10:14:33', NULL),
('11', '1', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2023-11-15 14:22:20', NULL),
('43', '142', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2034-12-16 04:51:44', NULL),
('23', '55', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2027-09-05 21:07:33', NULL),
('14', '83', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2030-01-11 19:45:20', NULL),
('44', '144', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '29', '2035-02-25 22:00:28', NULL),
('24', '23', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '23', '2025-01-10 17:39:39', NULL),
('20', '56', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2027-10-13 08:48:56', NULL),
('1', '92', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2030-10-14 06:31:09', NULL),
('40', '47', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '15', '2027-01-10 22:03:07', NULL),
('17', '113', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '5', '2032-07-22 07:56:46', NULL),
('4', '62', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2028-04-25 22:50:56', NULL),
('26', '134', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2034-04-27 03:08:21', NULL),
('30', '138', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2034-08-15 23:05:29', NULL),
('14', '84', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2030-02-26 11:01:48', NULL),
('27', '77', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2029-07-21 10:14:33', NULL),
('6', '4', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '1', '2023-06-25 04:04:52', NULL),
('31', '140', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '23', '2034-10-13 15:18:05', NULL),
('14', '89', 'La qualità del video potrebbe essere migliorata. Era sfocato in alcuni punti.', '0', '2030-07-21 12:26:17', NULL),
('32', '56', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2027-10-13 08:48:56', NULL),
('5', '30', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2025-08-17 03:19:53', NULL),
('2', '62', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '19', '2028-04-25 22:50:56', NULL),
('11', '111', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2032-05-16 12:09:05', NULL),
('6', '83', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2030-01-11 19:45:20', NULL),
('35', '72', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '26', '2029-02-26 08:50:04', NULL),
('15', '61', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2028-03-21 02:16:34', NULL),
('28', '46', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '24', '2026-12-15 20:10:51', NULL),
('12', '25', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2025-03-21 19:41:22', NULL),
('6', '107', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '13', '2032-01-12 00:08:48', NULL),
('12', '82', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2029-12-16 17:53:04', NULL),
('8', '36', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2026-02-27 02:14:52', NULL),
('22', '30', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2025-08-17 03:19:53', NULL),
('12', '71', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2029-01-11 17:33:36', NULL),
('34', '30', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2025-10-11 13:18:27', NULL),
('19', '40', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2026-06-11 09:43:56', NULL),
('20', '113', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2032-07-22 07:56:46', NULL),
('35', '10', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2025-11-16 09:52:49', NULL),
('2', '105', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2031-11-22 11:31:17', NULL),
('37', '127', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2033-09-06 01:24:58', NULL),
('48', '118', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '34', '2032-12-16 00:28:16', NULL),
('28', '3', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2025-04-20 03:47:40', NULL),
('5', '28', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2025-06-11 07:32:12', NULL),
('19', '107', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2032-01-12 00:08:48', NULL),
('31', '132', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2034-02-25 19:48:44', NULL),
('11', '2', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2023-11-15 14:22:20', NULL),
('18', '34', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2025-12-15 17:59:07', NULL),
('37', '107', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2032-01-12 00:08:48', NULL),
('45', '105', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '4', '2031-11-22 11:31:17', NULL),
('26', '95', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2031-01-11 21:57:04', NULL),
('4', '144', 'Ci sono troppe interruzioni nel video, rendendolo difficile da seguire.', '0', '2035-02-25 22:00:28', NULL),
('29', '59', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '8', '2028-01-11 00:14:51', NULL),
('36', '128', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2033-10-13 13:06:21', NULL),
('47', '134', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '37', '2034-04-27 03:08:21', NULL),
('36', '14', 'Non mi è piaciuto il tono usato nel video. Sembra mancare di entusiasmo.', '0', '2025-12-09 05:31:03', NULL),
('23', '146', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2035-04-27 05:20:05', NULL),
('13', '131', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2034-01-11 04:32:16', NULL),
('11', '36', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2026-02-27 02:14:52', NULL),
('41', '17', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '20', '2026-05-03 06:55:32', NULL),
('43', '130', 'Penso che alcune informazioni nel video siano inesatte. Fai attenzione alla precisione.', '0', '2033-12-16 02:40:00', NULL),
('37', '21', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2026-01-12 10:58:24', NULL),
('30', '51', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '16', '2027-05-16 10:03:24', NULL),
('22', '23', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2025-01-10 17:39:39', NULL),
('45', '115', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '9', '2032-09-05 23:13:14', NULL),
('18', '98', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2031-04-26 05:26:08', NULL),
('38', '121', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2033-03-22 04:22:15', NULL),
('4', '31', 'La qualità del suono potrebbe essere migliorata. Era difficile sentire chiaramente.', '0', '2025-09-05 16:44:05', NULL),
('1', '57', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2027-11-21 11:37:20', NULL),
('45', '128', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2033-10-13 13:06:21', NULL),
('5', '6', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2023-08-11 10:28:21', NULL),
('47', '58', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2027-12-15 22:22:35', NULL),
('11', '141', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '11', '2034-11-21 18:06:29', NULL),
('15', '30', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2025-08-17 03:19:53', NULL),
('27', '78', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2029-08-16 12:06:49', NULL),
('39', '102', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2031-08-16 16:30:17', NULL),
('15', '136', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2034-06-11 18:24:49', NULL),
('7', '38', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2026-04-26 18:27:28', NULL),
('32', '98', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '33', '2031-04-26 05:26:08', NULL),
('18', '8', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2024-06-21 00:02:34', NULL),
('21', '98', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2031-04-26 05:26:08', NULL),
('10', '47', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '0', '2027-01-10 22:03:07', NULL),
('7', '103', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '21', '2031-09-06 21:01:30', NULL),
('3', '95', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2031-01-11 21:57:04', NULL),
('18', '11', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '38', '2024-06-21 00:02:34', NULL),
('26', '62', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2028-04-25 22:50:56', NULL),
('6', '123', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '37', '2033-05-16 14:20:49', NULL),
('10', '62', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2028-04-25 22:50:56', NULL),
('46', '53', 'Questo video è incredibile! Mi ha aperto gli occhi su un argomento che non conoscevo.', '0', '2027-07-22 05:51:05', NULL),
('3', '60', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '0', '2028-02-25 15:31:19', NULL),
('31', '47', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '23', '2027-01-10 22:03:07', NULL),
('49', '129', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '0', '2033-11-21 15:54:45', NULL),
('38', '62', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2028-04-25 22:50:56', NULL),
('11', '48', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2027-02-25 13:19:35', NULL),
('14', '45', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2026-11-21 09:25:36', NULL),
('25', '142', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2034-12-16 04:51:44', NULL),
('49', '145', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2035-03-20 17:38:42', NULL),
('5', '42', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2026-08-17 05:31:37', NULL),
('27', '40', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2026-06-11 09:43:56', NULL),
('27', '107', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '18', '2032-01-12 00:08:48', NULL),
('8', '97', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '0', '2031-03-21 08:51:46', NULL),
('27', '97', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '27', '2031-03-21 08:51:46', NULL),
('16', '85', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '28', '2030-03-21 06:40:02', NULL),
('45', '100', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '34', '2031-06-10 20:42:36', NULL),
('45', '6', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '16', '2026-09-15 13:37:55', NULL),
('20', '135', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2034-05-16 16:32:33', NULL),
('25', '41', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '15', '2026-07-22 03:39:21', NULL),
('33', '75', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2029-05-15 14:26:52', NULL),
('1', '46', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2026-12-15 20:10:51', NULL),
('25', '129', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '0', '2033-11-21 15:54:45', NULL),
('19', '116', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2032-10-13 10:54:37', NULL),
('4', '120', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '0', '2033-02-25 17:37:00', NULL),
('49', '46', 'Questo video è molto motivante. Mi ha spinto a intraprendere azioni positive nella mia vita.', '12', '2027-01-25 14:06:16', NULL),
('30', '130', 'Sono rimasto affascinato dall entusiasmo che trasmetti nel video. Bravissimo!', '5', '2033-12-16 02:40:00', NULL),
('19', '101', 'Ho notato alcuni errori di grammatica nel testo del video. È importante fare una revisione accurata.', '0', '2031-07-21 14:38:01', NULL),
('45', '37', 'Ci sono troppe interruzioni nel video, rendendolo difficile da seguire.', '0', '2026-09-15 13:37:55', NULL),
('38', '38', 'Non mi è piaciuto il tono usato nel video. Sembra un po  troppo arrogante.', '0', '2026-04-26 18:27:28', NULL),
('28', '9', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '20', '2025-04-20 03:47:40', NULL),
('9', '116', 'Questo video è troppo lungo e si dilunga su argomenti non rilevanti.', '0', '2032-10-13 10:54:37', NULL),
